Symbol,Series,Security Name,Band,Remarks
RAMSARUP,BE,Ramsarup Industries Limited,5,-
RASOYPR,BE,Rasoya Proteins Limited,5,-
REFEX,EQ,Refex Industries Limited,5,-
REGENCERAM,BE,Regency Ceramics Limited,5,-
RKDL,EQ,Ravi Kumar Distilleries Limited,5,-
RMCL,BE,Radha Madhav Corporation Limited,5,-
ROHITFERRO,EQ,Rohit Ferro-Tech Limited,5,-
ROLLT,EQ,Rollatainers Limited,5,-
RUCHINFRA,BE,Ruchi Infrastructure Limited,5,-
SALONA,BE,Salona Cotspin Limited,5,-
SALSTEEL,BE,S.A.L. Steel Limited,5,-
SAMBHAAV,BE,Sambhaav Media Limited,5,-
SAMTEL,EQ,Samtel Color Limited,5,-
SANCO,BE,Sanco Industries Limited,5,-
SANWARIA,EQ,Sanwaria Agro Oils Limited,5,-
SASTASUNDR,BE,Sastasundar Ventures Limited,5,-
SEPOWER,EQ,S.E. Power Limited,5,-
SEZAL,BE,Sezal Glass Limited,5,-
SGFL,BE,Shree Ganesh Forgings Limited,5,-
SHAHALLOYS,BE,Shah Alloys Limited,5,-
SHILPI,EQ,Shilpi Cable Technologies Limited,5,NIFTY 500 Index/NIFTY MidSmallcap 400/NIFTY Smallcap 250
SHRIPISTON,BE,Shriram Pistons & Rings Limited,5,-
SIL,BE,Standard Industries Limited,5,"Transferred to trade for trade pursuant to NSE Circular NSE/CML/16300 dated November 15, 2010 (Less than 50% Non Promoter shareholding in dematerialized form)."
SIMPLEX,BE,Simplex Projects Limited,5,-
SKMEGGPROD,BE,SKM Egg Products Export (India) Limited,5,-
SOFTTECHGR,EQ,Software Technology Group International Limited,5,GSM - Stage 0
SOMATEX,BE,Soma Textiles & Industries Limited,5,-
SORILHOLD,EQ,SORIL Holdings and Ventures Limited,5,-
SPCENET,EQ,Spacenet Enterprises India Limited,5,-
SPECIALITY,BE,Speciality Restaurants Limited,5,-
SPMLINFRA,BE,SPML Infra Limited,5,-
SPYL,EQ,Shekhawati Poly-Yarn Limited,5,-
SRGINFOTEC,BE,SRG Infotec (India) Limited,5,-
SRSLTD,EQ,SRS Limited,5,-
STINDIA,EQ,STI India Limited,5,-
SUPREMETEX,EQ,Supreme Tex Mart Limited,5,-
SURANACORP,EQ,Surana Corporation Limited,5,-
SURANAIND,BE,Surana Industries Limited,5,-
TAINWALCHM,EQ,Tainwala Chemical and Plastic (I) Limited,5,-
TANTIACONS,BE,Tantia Constructions Limited,5,-
TARAPUR,BE,Tarapur Transformers Limited,5,-
TARMAT,BE,Tarmat Limited,5,-
TECHIN,BE,Techindia Nirman Limited,5,-
TEXMOPIPES,BE,Texmo Pipes and Products Limited,5,-
TFL,BE,Transwarranty Finance Limited,5,-
THOMASCOTT,BE,Thomas Scott (India) Limited,5,GSM - Stage I
TIJARIA,BE,Tijaria Polypipes Limited,5,-
TIMESGTY,BE,Times Guaranty Limited,5,-
TNTELE,BE,Tamilnadu Telecommunication Limited,5,"GSM - Stage I/Transferred to trade for trade pursuant to NSE Circular NSE/CML/16300 dated November 15, 2010 (Less than 50% Non Promoter shareholding in dematerialized form)"
TODAYS,BE,Todays Writing Instruments Limited,5,GSM - Stage 0
TRIGYN,EQ,Trigyn Technologies Limited,5,-
UBHOLDINGS,BE,United Breweries (Holdings) Limited,5,-
UMESLTD,EQ,Usha Martin Education & Solutions Limited,5,-
UNIPLY,BE,Uniply Industries Limited,5,-
UNITEDPOLY,SM,United Polyfab Gujarat Limited,5,-
URJA,BE,Urja Global Limited,5,-
USHERAGRO,EQ,Usher Agro Limited,5,-
UTTAMSUGAR,EQ,Uttam Sugar Mills Limited,5,-
UVSL,BE,Uttam Value Steels Limited,5,-
VAIBHAVGBL,BE,Vaibhav Global Limited,5,-
VENKEYS,EQ,Venky's (India) Limited,5,-
VIJIFIN,BE,Viji Finance Limited,5,GSM - Stage I
VIMALOIL,BE,Vimal Oil & Foods Limited,5,GSM - Stage I
VISUINTL,BE,Visu International Limited,5,GSM - Stage II
WANBURY,BE,Wanbury Limited,5,-
WEBELSOLAR,BE,Websol Energy System Limited,5,-
WEIZMANIND,EQ,Weizmann Limited,5,-
WELINV,EQ,Welspun Investments and Commercials Limited,5,-
WILLAMAGOR,BE,Williamson Magor & Company Limited,5,-
WIPL,BE,The Western India Plywoods Limited,5,-
ZENITHBIR,EQ,Zenith Birla (India) Limited,5,-
ZENITHEXPO,BE,Zenith Exports Limited,5,-
ZODJRDMKJ,EQ,Zodiac JRD- MKJ Limited,5,-
ZYLOG,EQ,Zylog Systems Limited,5,-
ARCHIES,EQ,Archies Limited,10,-
ASHIANA,EQ,Ashiana Housing Limited,10,-
