25/05/2017
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
502241	IAG Company Ltd.	64.39400
502250	Marathwada Refractories Ltd.	7.00000
502255	Neycer India Ltd.	61.09580
502271	Raasi Refractories Limited.	47.13136
502281	Triveni Glass Ltd.	126.19434
502294	Nilachal Refractories Ltd.	203.61450
502330	International Paper APPM Limit	397.70039
502352	Aurangabad Paper Mills Ltd.	58.10000
502355	Balkrishna Industries Ltd.	966.58595
502374	Ellora Paper Mills Ltd.	20.00000
502405	Mysore Paper Mills Limited	1188.93432
502407	Nath Pulp & Paper Mills Ltd.	90.00000
502420	Orient Paper & Industries Ltd.	2121.85502
502445	Citadel Realty And Developers 	35.74500
502448	Rollatainters Ltd.	2501.30000
502450	Seshasayee Paper & Boards Ltd.	126.13628
502452	Shree Vindhya Paper Mills Ltd.	79.47256
502455	Sirpur Paper Mills Ltd.	169.94154
502460	Solid Containers Ltd.	27.00000
502465	Speciality Papers Ltd.	1561.64136
502473	Relson India Ltd.	16.50000
502512	Dhampur Sugar (Kashipur) Ltd.	145.91700
502550	Shiva Paper Mills Ltd.	74.52600
502563	Shree Bhawani Paper Mills Ltd.	348.27224
502587	Rama Pulp & Papers Ltd	110.00000
502589	Vapi Paper Mills Ltd.	22.81450
502700	Arunoday Mills Ltd.	55.00000
502742	Sintex Industries Ltd	5549.41700
502761	Blue Blends (India) Ltd	205.92788
502820	DCM Ltd.	186.77749
502850	Gaekwar Mills Ltd.	2.00000
502856	Gandhidham Spg. & Mfg. Co. Lim	3.51000
502865	Forbes & Company Ltd	128.98616
502873	H.P. Cotton Textile Mills Ltd.	38.10000
502893	United Interactive Limited	18.31000
502901	Jam Shri Ranjitsinghji Spg.& W	69.99564
502920	K.C. Textiles Ltd.	18.50000
502933	Katare Spinning Mills Ltd.	28.50000
502937	Kesoram Industries Ltd	1172.68650
502943	Khatau Makanji Spg. & Wvg. Co.	3.36655
502958	Lakshmi Mills Company ltd	6.95915
502986	Vardhman Textiles Limted	573.61512
502995	Malwa Cotton Spg. Mills Ltd.	79.05028
503015	Modern India Ltd.	375.42750
