25/05/2017
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
532801	Cambridge Technology Enterpris	196.31015
532803	Pochiraju   Industries Limited	189.06675
532804	Technocraft Industries (India)	263.00000
532805	Redington (India) ltd.	3998.48460
532806	AI CHAMPDANY INDUSTRIES LIMITE	274.20831
532807	Cineline India Limited	280.00000
532808	Pearl Global Industries Limite	216.63937
532809	Firstsource Solutions Ltd.	6818.21362
532810	Power Finance Corporation Ltd	26400.81408
532811	Ahluwalia Contracts (India) Lt	669.87560
532812	Transwarranty Finance Limited	244.60568
532813	C & C Constructions Ltd.	254.45265
532814	Indian Bank	4802.91651
532815	SMS Pharmaceuticals Ltd	846.52030
532816	Broadcast Initiatives Ltd.	253.14000
532817	Oriental Trimex Limited	148.15208
532818	Evinix Accessories Limited	1070.00000
532819	MindTree  Limited	1680.25826
532820	E-Land Apparel Limited	479.90469
532821	Indus Fila Limited	207.44717
532822	Idea Cellular Ltd	36058.07711
532823	Euro Ceremics Ltd	337.37717
532824	VTX INDUSTRIES LIMITED	181.69240
532825	JAGJANANI TEXTILES LIMITED	156.00000
532826	Raj Television Network Ltd	519.13344
532827	Page Industries Ltd.	111.53874
532828	AMD Industries Ltd	191.66749
532829	Lawreshwar Polymers Limited	136.78799
532830	Astral Poly Technik Ltd	1197.66565
532831	Abhishek Corporation Ltd	160.08462
532832	Indiabulls Real Estate Limited	4746.74139
532834	Camlin Fine Sciences Ltd	1037.09570
532835	ICRA Limited	99.03280
532836	Sancia Global Infraprojects Li	430.48804
532837	ORBIT CORPORATION LIMITED	1139.61890
532839	Dish TV India Limited	10659.34528
532840	ADVANTA LIMITED	1246.37547
532841	SAHYADRI INDUSTRIES LTD.	95.61500
532842	Sree Rayalaseema Hi-Strength H	154.91251
532843	Fortis Healthcare Ltd	5177.82131
532845	TGB Banquets and Hotels Limite	292.86400
532847	HILTON METAL FORGING LIMITED	124.43016
532848	Delta Corp Limited	2671.07978
532850	MIC Electronics Limited	2202.54319
532851	Insecticides India Ltd.	206.67796
532852	McDowell Holdings Limited	139.92258
532853	Asahi Songwon Colors Ltd.	122.72262
532854	NITIN FIRE PROTECTION INDUSTRI	2922.69622
532855	Haryana Capfin Ltd.	52.08681
532856	Time Technoplast Limited	2261.46750
532857	Glory Polyfilms Ltd	594.68148
532858	Decolight Ceramics Ltd.	483.35444
532859	Hinduja Global Solutions Limit	207.71710
532864	Nelcast Limited	870.01200
532865	Meghmani Organics Ltd.	2543.14211
532866	Quintegra Solutions Limited	268.13830
532867	V2 Retail Limited	309.22684
532868	DLF LIMITED	17840.03090
532869	Tarmat Limited	109.60707
532870	Ankit Metal  & Power Limited	1411.10500
532871	Celestial Biolabs Limited	225.86350
532872	Sun Pharma Advanced Research C	2468.73756
532873	Housing Development & Infrastr	4340.03986
532874	Suryachakra Power Corporation 	1496.32960
532875	Allied Digital Services Limite	461.86727
532876	Everonn Education ltd	240.52414
532877	SIMPLEX PROJECTS LIMITED	126.00378
532878	Alpa Laboratories Limited	210.40600
532879	Sir Shadi Lal Enterprises Ltd	52.50000
532880	OMAXE LIMITED	1829.00540
532882	Omnitech InfoSolutions Limited	150.06971
532883	ZYLOG SYSTEMS LIMITED	589.92840
532884	Refex Industries Limited	154.75176
532885	Central Bank of India	19021.70964
532886	SEL Manufacturing Company Limi	3313.47000
532887	Neueon Towers Limited	565.44552
532888	ASIAN GRANITO INDIA LIMITED	300.87446
532889	K.P.R. Mill Ltd.	738.95784
532890	Take Solutions Ltd	1332.36800
532891	Puravankara Limited	2371.49686
532892	Motilal Oswal Financial Servic	1444.57476
532893	VTM Ltd	402.27600
532894	Indowind Energy Ltd.	897.41486
532895	Nagreeka Capital & Infrastruct	126.15300
532896	MAGNUM VENTURES LIMITED	376.01884
532898	POWER GRID CORPORATION OF INDI	52315.89648
532899	Kaveri Seed Company Ltd	690.55095
532900	S E Investments Ltd.	405.60000
532901	Koutons Retail India Limited	305.51397
532902	Consolidated Construction Cons	3985.11188
532903	DHANUS TECHNOLOGIES LIMITED	5710.04942
532904	Supreme Infrastructure India L	256.98372
532905	Saamya Biotech (india) Ltd.	248.82500
532906	MAAN ALUMINIUM LIMITED	33.80304
532907	IL&FS Engineering and Construc	1311.21078
532908	SHARON BIO-MEDICINE LTD.	1055.69000
532910	Anil Limited	97.66166
532911	Parle Software Limited	140.00000
532912	Net 4 India Ltd.	200.58250
532914	Arcotech Limited (Formerly SKS	210.00000
532915	Religare Enterprises Ltd	1783.34498
532916	BARAK VALLEY CEMENTS LIMITED	221.60000
532917	VARUN INDUSTRIES LIMITED	291.13945
532918	RATHI BARS LIMITED	163.30357
532919	Allied Computers International	1897.54952
532920	EMPEE DISTILLERIES LTD	201.75753
532921	Adani Ports and Special Econom	20709.51761
532922	Edelweiss Financial Services L	8354.96314
532923	Renaissance Jewellery Limited	190.79440
532924	Kolte-Patil Developers Ltd	757.74909
532925	Kaushalya Infrastructure Devel	346.30630
532926	Jyothy Laboratories Limited	1816.83724
532927	eClerx Services Limited	398.33279
532928	Transformers and Rectifiers (I	132.56411
532929	Brigade Enterprises Limited	1356.42761
532930	BGR ENERGY SYSTEMS LIMITED	721.61560
532931	Burnpur Cement Limited	861.24363
532932	MANAKSIA LIMITED	655.34050
532933	PORWAL AUTO COMPONENTS LIMITED	151.00000
532934	PPAP Automotive Limited	140.00000
532935	Aries Agro Limited	130.04339
532937	Kuantum Papers Limited	87.26363
532938	Capital First Limited	974.22069
532939	Reliance Power Limited	28051.26466
532940	J. Kumar Infraprojects Limited	756.65506
532941	Cords Cable Industries Limited	129.27780
532942	KNR Constructions Limited	1406.17300
532944	OnMobile Global Ltd.	1043.50658
532945	Shriram EPC Limited	8229.89447
532946	Bang Overseas Ltd	135.60000
532947	IRB Infrastructure Developers 	3514.50000
532948	Tulsi Extrusions Limited	274.94610
532951	GSS Infotech Ltd	169.36843
532952	Nahar Capital & Financial Serv	167.46167
532953	V-Guard Industries Ltd.	4246.54461
532955	Rural Electrification Corporat	19749.18000
532957	GOKAK TEXTILES LTD.	64.99308
532959	Gammon Infrastructure Projects	9418.30724
532960	Indiabulls Ventures Limited	3932.42402
532961	Sita Shree Food Products Ltd	278.34174
532966	Titagarh Wagons Ltd	1154.11870
532967	KIRI INDUSTRIES LIMITED	278.43951
532972	Sankhya Infotech Ltd.	112.45205
532974	Aditya Birla  Money Ltd	554.00000
532975	AISHWARYA TELECOM LIMITED	215.63942
532976	Jai Balaji Industries Limited	862.81486
532977	Bajaj Auto Limited	2893.67020
532978	Bajaj Finserv Limited	1591.31453
532979	Piramal Phytocare limited	259.60340
532980	Gokul Refoils and Solvent Limi	1318.95000
532981	Anu's Laboratories Ltd	2444.59983
532983	RPG Life Sciences Limited	165.39015
532984	Enso Secutrack Ltd	106.41098
532986	Niraj Cement Structurals Limit	117.92800
532987	Rane Brake Lining Limited	79.14980
532988	Rane Engine Valve Limited	67.18992
532989	Bafna Pharmaceuticals Limited	186.56335
532990	Metkore Alloys & Industries Lt	704.26475
532991	MVL Limited	6012.43200
532992	CHL Limited	548.18290
532993	Sezal Glass Limited	335.50000
532994	Archidply Industries Limited	220.65000
532995	Avon Corporation Limited	645.80317
532996	FIRST WINNER INDUSTRIES LTD	502.32793
532997	KSK Energy Ventures  Limited	4239.85774
532998	Lotus Eye Care Hospital Limite	207.96330
532999	Nextgen Animation Mediaa Ltd	619.94195
533001	SOMI CONVEYOR BELTINGS LIMITED	117.79656
533006	Birla Cotsyn (India) Limited	26686.35154
533007	LGB Forge Limited	1500.01551
533008	OCL Iron and Steel Limited	1341.43160
533011	Coral Hub Limited	241.97979
533012	Landmark Property Development 	1341.43160
533014	Sicagen India Limited	395.71684
533015	Nu Tek India Limited	1545.18600
533016	Austral Coke & Projects Limite	2902.96040
533017	Resurgere Mines & Minerals Ind	1988.74644
533018	SIMPLEX MILLS COMPANY LIMITED	30.00475
533019	SIMPLEX PAPERS LTD.	30.01475
533022	20 Microns Limited	352.86502
533023	WABCO India Ltd	189.67584
533026	Chemcel Bio-Tech Limited	279.18406
533029	Alkali Metals Limited	101.82506
533033	ISGEC Heavy Engineering Limite	73.52951
533047	Indian Metals & Ferro Alloys L	269.77053
533048	GI ENGINEERING SOLUTIONS LIMIT	86.11878
533055	Edserv Softsystems Limited	263.26463
533056	VEDAVAAG Systems Limited	142.50000
533059	BRANDHOUSE RETAILS LIMITED	536.02767
533065	REI Six Ten Retail Limited	1470.98362
533068	Arrow Textiles Limited	190.43939
533078	Manjeera Constructions Limited	125.08418
533079	Sand Plast (India) Ltd.	232.00000
533080	Mold-Tek Packaging Limited	276.91052
533083	RISHABHDEV TECHNOCABLE LIMITED	266.89868
533088	Mahindra Holidays & Resorts In	887.80856
533089	Teledata Technology Solutions 	4995.85040
533090	Excel Realty N Infra Limited	313.48779
533093	RAJ OIL MILLS LIMITED	710.10108
533095	Bengal & Assam Company Limited	86.83553
533096	Adani Power Limited	38569.38941
533098	NHPC Limited	102593.20519
533100	Premier Energy and Infrastruct	413.50060
533101	Suryaamba Spinning Mills Limit	29.31944
533103	Jindal Cotex Limited	450.03140
533104	Globus Spirits Limited	287.99268
533106	Oil India Limited	8015.14607
533107	Reliance Defence and Engineeri	7362.06269
533108	Bhilwara Technical Textiles Li	583.73305
533109	Euro Multivision Limited	238.00049
533110	Shree Precoated Steels Limited	827.98042
533121	SQS India BFSI Limited	106.85881
533122	RattanIndia Power Limited	29529.33353
533137	DEN Networks Limited	1940.25845
533138	ASTEC LIFESCIENCES LIMITED	195.16455
533144	Cox & Kings Limited	1765.64890
533146	D-Link (India) Ltd	355.04850
533148	JSW Energy Limited	16400.54795
533149	Essar Securities Limited	142.87754
533150	Godrej Properties Limited	2163.64692
533151	D.B.Corp Limited	1839.07079
533152	MBL INFRASTRUCTURES LIMITED	414.54624
533154	Infinite Computer Solutions (I	330.46459
533155	Jubilant Foodworks Limited	659.50070
533156	Vascon Engineers Limited	1676.60186
533157	Syncom Healthcare Limited	400.00000
533158	Thangamayil Jewellery Limited	137.19582
533159	Aqua Logistics Limited	2999.90950
533160	D B REALTY LIMITED	2432.58782
533161	Emmbi Industries Limited	176.90250
533162	Hathway Cable & Datacom Limite	8304.94500
533163	ARSS Infrastructure Projects L	148.43230
533164	Texmo Pipes and Products Limit	238.20000
533166	Sundaram Multi Pap Ltd.	2456.05773
533167	Coromandel Engineering Company	332.33598
533168	Rossell India Limited	366.96475
533169	MAN INFRACONSTRUCTION LIMITED	2475.00270
533170	Tamboli Capital Limited	99.20000
533171	United Bank of India	13943.55583
533176	DQ Entertainment (Internationa	792.83000
533177	IL&FS Transportation Networks 	3289.60027
533178	Pradip Overseas Limited	484.40183
533179	Persistent Systems Limited	800.00000
533180	Shree Ganesh Jewellery House (	719.06485
533181	Intrasoft Technologies Limited	147.31678
533189	Goenka Diamond & Jewels Ltd	3170.00000
533192	K C P SUGAR AND INDUSTRIES COR	1133.85050
533193	KIRLOSKAR ELECTRIC COMPANY LTD	664.14071
533200	TALWALKARS BETTER VALUE FITNES	297.04856
533202	Nitesh Estates Limited	1458.32100
533203	TARAPUR TRANSFORMERS LIMITED	195.00011
533204	Mandhana Industries Ltd.	331.23913
533206	SJVN LIMITED	41366.26500
533207	Jaypee Infratech Limited	13889.33497
533208	Emami Paper Mills Ltd.	604.99050
533210	Kriti Nutrients Ltd	501.03520
533211	Parabolic Drugs Ltd	618.92014
533212	GKB Ophthalmics Ltd.	41.53580
533213	Frontline Securities Ltd.	71.86689
533216	TECHNOFAB ENGINEERING LIMITED	104.90000
533217	Hindustan Media Ventures Limit	733.93770
533218	Emami Infrastructure Limited	242.98392
533219	Shri Aster Silicates Limited	235.26622
533220	Midfield Industries Limited	128.21251
533221	Asian Hotels (West) Ltd	114.58303
533227	Asian Hotels (East) Limited	115.27797
533228	Bharat Financial Inclusion Lim	1379.94150
533229	Bajaj Corp Limited	1475.00000
533239	Prakash Steelage Limited	1750.00390
533248	Gujarat Pipavav Port Limited	4834.39910
533252	Welspun Investments and Commer	36.54476
533257	INDOSOLAR LIMITED	3581.30000
533258	Tirupati Inks Limited	250.99770
533259	Sastasundar Ventures Limited	318.10500
533260	Career Point Limited	181.32939
533261	Eros International Media Limit	944.32389
533262	Ramky Infrastructure Limited	571.97791
533263	Orient Green Power Company Lim	7397.99675
533264	Electrosteel Steels Ltd	24092.35023
533265	Gallantt Ispat Limited	282.36072
533266	Tecpro Systems Ltd	504.73791
533267	CANTABIL RETAIL INDIA LIMITED	163.27608
533268	SEA TV Network Limited	120.20000
533269	VA Tech Wabag Limited	545.73058
533270	Bedmutha Industries Limited	245.31611
533271	Ashoka Buildcon Limited	1871.48811
533272	COMMERCIAL ENGINEERS & BODY BU	549.42964
533273	OBEROI REALTY LIMITED	3396.02237
533274	Prestige Estates Projects Limi	3750.00000
533275	GYSCOAL ALLOYS LIMITED	1582.75560
533276	BS Limited	4416.83580
533278	Coal India Limited	62074.09177
533281	Techno Electric And Engineerin	1141.82400
533282	GRAVITA INDIA LIMITED	685.10364
533284	RPP INFRA PROJECTS LIMITED	226.00584
533285	RDB Realty & Infrastructure Li	172.83400
533286	MOIL Limited	1331.87804
533287	ZEE LEARN LIMITED	3235.05212
533288	Claris Lifesciences Limited	545.67765
533289	Kesar Terminals & Infrastructu	109.26475
533292	A2Z Infra Engineering Limited	1449.49469
533293	Kirloskar Oil Engines Limited	1446.13861
533294	Ravi Kumar Distilleries Limite	240.00000
533295	PUNJAB & SIND BANK	4004.11027
533296	Future Market Networks Limited	562.91281
533298	Surana Solar Limited	492.06600
533301	Shekhawati Poly-Yarn Limited	3447.00000
533302	Kalyani Investment Company Lim	43.65306
533303	BF Investment Limited	376.67628
533304	C. Mahendra Exports Limited	1211.35560
533305	SRS Real Infrastructure Ltd.	4020.32000
533306	SUMMIT SECURITIES LTD.	109.01781
533309	Dalmia Bharat Limited	889.65803
533310	MidValley Entertainment Limite	342.24569
533314	AGS INFOTECH LIMITED	124.48100
533315	Innovassynth Investments Limit	242.78035
533316	STEL Holdings Limited	184.55405
533317	OMKAR SPECIALITY CHEMICALS LIM	205.78004
533320	Jubilant Industries Limited	119.15070
533321	Bil Energy Systems Limited	1057.08000
533326	Texmaco Rail & Engineering Lim	2194.14993
533329	Indian Terrain Fashions Limite	379.41300
533330	Acropetal Technologies Limited	388.90358
533332	Sudar Industries Limited	225.01352
533333	Fineotex Chemical Limited	1113.00000
533336	Dhunseri Investments Ltd	60.97178
533339	Zen Technologies Ltd.	771.60060
533343	Lovable Lingerie Limited	168.00000
533344	PTC India Financial Services L	6422.83335
533389	Shilpi Cable Technologies Limi	1026.32272
533393	TCI Developers Limited	37.29431
533398	MUTHOOT FINANCE LIMITED	3995.36296
533399	Paramount Printpackaging Limit	267.00040
533400	Future Consumer Limited	16624.92238
533401	SERVALAKSHMI PAPER LIMITED	431.13656
533402	Innoventive Industries Limited	596.43999
533407	CIL Nova Petrochemicals Limite	271.00000
533411	Sanghvi Forging and Engineerin	148.92267
533412	Dr.Datsons Labs Limited	1095.83406
533427	VMS INDUSTRIES LIMITED	164.73391
533444	Timbor Home Limited	159.84241
533451	Karma Energy Limited	115.69918
533452	WEIZMANN FOREX LIMITED	115.64357
533462	Teledata Marine Solutions Ltd.	908.34540
533469	Birla Pacific Medspa Limited	1121.42584
533470	Rushil Decor Limited	144.00000
533477	Enkei wheels (India) Limited	148.76695
533482	Kridhan Infra Limited	740.91765
533499	Bharatiya Global Infomedia Lim	158.43110
533506	INVENTURE GROWTH & SECURITIES 	840.00000
533519	L&T FINANCE HOLDINGS LIMITED	18212.14997
533520	SORIL Holdings and Ventures Li	507.18493
533525	HealthFore Technologies Limite	81.29463
533540	Tree House Education & Accesso	423.10724
533543	BROOKS LABORATORIES LIMITED	161.86422
533552	RUPA & COMPANY LIMITED	795.24560
533553	TD Power Systems Ltd	332.37588
533569	SRS Limited	2785.82026
533573	ALEMBIC PHARMACEUTICALS LIMITE	1885.15914
533576	Vaswani Industries Limited	300.00000
533581	PG Electroplast Limited	164.14332
533602	Lesha Industries Limited	94.33638
533605	Prakash Constrowell Limited	1256.78260
533608	RDB Rasayans Limited	177.14800
533629	TIJARIA POLYPIPES LIMITED	236.26579
533632	Onelife Capital Advisors Ltd	133.60000
533638	FLEXITUFF INTERNATIONAL LIMITE	248.82806
533639	Taksheel Solutions Ltd	218.52107
533644	Ujaas Energy Limited	2000.00000
533655	Triveni Turbine Limited	3299.72150
533676	Indo Thai Securities Limited	100.00000
533704	Essar Shipping Ltd	2069.76072
533758	APL Apollo Tubes Limited	235.89955
533761	GPT Infraprojects limited	145.43000
533790	KGN ENTERPRISES LIMITED	204.70000
533896	Fervent Synergies Limited	300.00000
533941	THOMAS SCOTT (INDIA) LIMITED	33.90000
533982	Tera Software Ltd.	125.11875
534060	PMC Fincorp Limited	4865.61200
534063	Futuristic Solutions Ltd.	104.73447
534064	Alliance Integrated Metaliks L	116.12500
534076	Orient Refractories Ltd.	1201.39200
534091	Multi Commodity Exchange of In	509.98369
534109	Pyxis Finvest Limited	115.02585
534139	SCHNEIDER ELECTRIC INFRASTRUCT	2391.04035
534184	NAGARJUNA OIL REFINERY LIMITED	4281.81821
534190	Olympic Cards Limited	163.08700
534309	NBCC (India) Limited	9000.00000
534312	MT EDUCARE LIMITED	398.20784
534328	Hexa Tradex Limited	552.44704
534338	Maxheights Infrastructure Limi	156.09225
534369	Tribhovandas Bhimji Zaveri Lim	667.30620
534392	Vardhman Special Steels Ltd	321.25376
534422	Looks Health Services Limited	105.00000
534425	Speciality Restaurants Limited	469.57657
534532	Lypsa Gems & Jewellery Limited	210.60000
534535	Bio Green Papers Limited	80.03500
534563	MAX ALERT SYSTEMS LIMITED	91.99500
534564	ASEEM GLOBAL LIMITED	105.80398
534567	VKS Projects Ltd	6300.00000
534597	RattanIndia Infrastructure Lim	13822.69592
534598	S.E. POWER LIMITED	406.10000
534600	JTL INFRA LIMITED	100.07430
534612	ADVANCE METERING TECHNOLOGY LI	160.57466
534615	North Eastern Carrying Corpora	501.97336
534618	Sangam Advisors Limited	100.14834
534623	Jupiter Infomedia Limited	100.20000
534639	VINAYAK POLYCON INTERNATIONAL 	30.81295
534659	Jointeca Education Solutions L	100.15300
534674	Ducon Infratechnologies Limite	784.23100
534675	Prozone Intu Properties Limite	1526.02883
534680	SRG Housing Finance Limited	130.00000
534690	LAKSHMI VILAS BANK LTD	1918.06747
534691	Comfort Commotrade Limited	100.20000
534707	Anshu’s Clothing Limited	124.69560
534708	RCL Retail Limited	123.10000
534731	Bronze Infra-Tech Limited	172.76500
534732	INTELLIVATE CAPITAL ADVISORS L	310.54810
534733	Supremex Shine Steels Limited	315.40000
534734	Ram Minerals And Chemicals Lim	2057.90100
534740	Bhanot Construction & Housing 	203.98160
534741	VIRTUAL GLOBAL EDUCATION LTD.	4236.63698
534742	ZUARI AGRO CHEMICALS LIMITED	420.58006
534748	Steel Exchange India Ltd.	759.84812
534755	Trio Mercantile & Trading Limi	116.46275
534756	Tara Jewels Limited	246.22850
534757	Focus Industrial Resources Lim	121.94199
534758	Cigniti Technologies Ltd	265.09530
534796	Pankaj Polypack Limited	30.77500
534804	Credit Analysis and Research L	294.51201
534809	PC JEWELLER LIMITED	1791.37600
534816	Bharti Infratel Limited	18496.08246
534839	Eco Friendly Food Processing P	2476.50000
534920	COVIDH TECHNOLOGIES LIMITED	106.00000
534927	Esteem Bio Organic Food Proces	2486.33330
534976	V-Mart Retail Limited	180.68160
535136	Kavita Fabrics Limited.	104.18706
535141	Sunstar Realty Development Lim	2362.30000
535142	Channel Nine Entertainment Lim	2328.96000
535204	Mukta Agriculture Limited	216.81771
535205	Mystic Electronics Limited	197.66248
535217	HPC Biosciences Limited	1596.00000
535267	COMFORT FINCAP LIMITED	108.51300
535279	Bothra Metals & Alloys Limited	185.16640
535322	Repco Home Finance Limited	625.61362
535387	LAKHOTIA POLYESTERS (INDIA) LI	104.73988
535431	GCM Securities Limited	1899.60000
535458	NRB INDUSTRIAL BEARINGS LIMITE	242.30650
535466	SAMRUDDHI REALTY LIMITED	100.94400
535467	ASHAPURA INTIMATES FASHION LIM	198.67466
535486	Delta Leasing & Finance Limite	116.02340
535503	ROSELABS LIMITED	100.02600
535514	Prime Capital Market Limited	100.00100
535566	KIFS Financial Services Ltd	108.18000
535601	Sreeleathers Limited	251.55012
535602	Sharda Motor Industries Ltd	59.46326
535620	Binny Mills Limited	31.88474
535621	S V Global Mill Limited	223.19410
535647	Onesource Techmedia Limited	64.92500
535648	Just Dial Limited	695.38452
535657	ObjectOne Information Systems 	105.11900
535658	Pawansut Holdings Limited	113.13905
535667	India Finsec Limited	249.41715
535693	BRAHMAPUTRA INFRASTRUCTURE LIM	290.18400
535694	Edynamics Solutions Limited	255.54500
535719	QUEST SOFTECH (INDIA) LIMITED	100.00000
535730	Khoobsurat Ltd.	1328.44740
535754	ORIENT CEMENT LIMITED	2048.68760
535755	Aditya Birla Fashion and Retai	7715.28885
535789	INDIABULLS HOUSING FINANCE LIM	4243.12824
535910	Money Masters Leasing & Financ	46.70583
535916	Alacrity Securities Limited	210.80000
535917	GCM Commodity & Derivatives Li	74.27000
535958	Integra Garments and Textiles 	363.32349
536073	Silverpoint Infratech Limited	197.89000
536128	VKJ Infradevelopers Limited	1784.97700
536170	Kushal Tradelink Limited	2372.66610
536264	Tiger Logistics (India) Limite	105.72500
536456	R J BIO-TECH LIMITED	94.67600
536492	Ace Tours Worldwide Limited	126.70456
536493	JK Agri Genetics Limited	36.03906
536507	Future Lifestyle Fashions Limi	1901.28978
536565	Trimurthi Limited	81.00000
536592	SATKAR FINLEASE LIMITED	2204.40000
536644	Newever Trade Wings Limited	239.45200
536659	PVV Infra Limited	50.00301
536666	Star Ferro and Cement Limited	2221.72990
536671	Subh Tex (India) Limited	110.00000
536672	VCU Data Management Limited	155.00000
536709	IND Renewable Energy Ltd	302.73600
536710	S R G SECURITIES FINANCE LIMIT	38.75400
536737	Amrapali Capital and Finance S	97.78600
536738	STELLAR CAPITAL SERVICES LIMIT	249.61500
536751	Five X Tradecom Limited	205.54400
536773	JINDAL POLY INVESTMENT AND FIN	105.11929
536799	SRS Finance Limited	981.21593
536820	BOSTON TEKNOWSYS (INDIA) LIMIT	52.40500
536846	Yuranus Infrastructure Ltd	35.00000
536868	Integra Telecommunication & So	105.60000
536965	B.P.Capital Ltd.	30.11800
536974	CAPTAIN POLYPLAST LIMITED	100.75758
537068	Satya Miners & Transporters Li	54.54500
537069	Arnold Holdings Ltd	1503.75000
537092	MODEX INTERNATIONAL SECURITIES	60.00000
537119	Tentiwala Metal Products Limit	54.24085
537253	Sunil Healthcare Limited	102.54750
537254	RCI Industries & Technologies 	134.36415
537259	Suyog Telematics Limited	101.54400
537291	Nath Biogene India Ltd.	160.04000
537292	Agri-Tech India Ltd.	59.40000
537326	CHEMTECH INDUSTRIAL VALVES LIM	114.87333
537392	Taaza International Limited	72.58110
537492	Agrimony Commodities Limited	113.90000
537524	Viaan Industries Limited	1066.52100
537536	Denis Chem Lab Limited	117.41796
537573	Polymac Thermoformers Limited	47.81600
537582	Unishire Urban Infra Limited	243.58500
537669	Siddhi Vinayak Shipping Corpor	57.52000
537707	ETT Limited	103.68660
537709	SHREE HANUMAN SUGAR & INDUSTRI	185.00000
537750	Kiran Vyapar Limited	259.20000
537766	B.C. Power Controls Limited	117.60000
537784	Karnimata Cold Storage Limited	50.84000
537785	Anisha Impex Limited	164.32200
537800	Mangalam Industrial Finance Li	9616.43500
537820	VIJI FINANCE LIMITED	750.00000
537838	Negotium International Trade L	392.22500
537839	PHOENIX TOWNSHIP LIMITED	139.84260
537840	Raunaq EPC International Limit	33.43243
537954	Shri Krishna Prasadam Limited	48.67190
537985	INFRONICS SYSTEMS LIMITED	79.26462
538019	Oceanaa Biotek Industries Limi	102.00000
538081	Haria Apparels Limited	152.89800
538092	Joonktollee Tea & Industries L	41.42201
538119	R&B Denims Limited	139.94688
538128	Women's Next Loungeries Limite	25.00000
538180	Gold Line International Finves	5209.65000
538212	SHARP INVESTMENTS LTD	2420.97500
538268	Wonderla Holidays Limited	565.00670
538273	Response Informatics Limited	59.76400
538287	Tarang Projects and Consultant	144.00000
538295	Kausambi Vanijya Limited	474.00000
538319	GCM Capital Advisors Limited	169.40000
538351	A.F. Enterprises Limited	40.00000
538364	Birdhi Chand Pannalal Agencies	391.00000
538365	Adhunik Industries Limited	467.63750
538382	WEST LEISURE RESORTS LIMITED	30.53337
538395	Nam Securities Ltd.	30.50100
538400	MMS Infrastructure ltd.	87.46520
538401	MAESTROS ELECTRONICS & TELECOM	43.09945
538402	SPS Finquest Limited	45.05700
538422	Jackson Investments Limited	2907.08050
538423	Alps Motor Finance Limited	1015.62800
538432	Divinus Fabrics Limited	44.57004
538433	Classic Global Finance & Capit	367.28000
538446	Dhanuka Commercial Limited	167.43459
538450	Dhyana Finstock Limited	94.26100
538451	Worth Investment & Trading Co 	32.80000
538452	Quasar India Limited	53.52500
538464	Thirani Projects Limited	202.12875
538465	Amarnath Securities Ltd.	30.00200
538476	Capital Trade Links Limited	509.80000
538496	Tarini International Limited	129.98000
538504	Creative Merchants Limited	50.00000
538520	Siddarth Businesses Limited	456.50000
538521	Crown Tours Limited	31.00000
538537	Omansh Enterprises Limited	177.50000
538539	J.Taparia Projects Ltd	162.00000
538540	Ramchandra Leasing & Finance L	511.62000
538541	Inceptum Enterprises Limited	41.11400
538542	GoldCoin Health Foods Limited	30.00900
538546	Bansal Roofing Products Limite	21.97200
538547	Oasis Tradelink Limited	108.74636
538548	Vitan Agro Industries Limited	835.35650
538556	Arman Holdings Limited	52.10500
538557	Sai Baba Investment & Commerci	112.65000
538562	Skipper Limited	1023.16462
538563	Adarsh Mercantile Limited	36.75000
538564	James Warren Tea Limited	120.00804
538565	Shubhra Leasing Finance & Inve	32.00000
538566	Best Steel Logistics Limited	185.00000
538567	Gulf Oil Lubricants India Limi	496.33790
538568	Fruition Venture Limited	40.00000
538569	Triveni Enterprises Limited	572.40000
538570	Achal Investments Limited	630.97890
538575	Solis Marketing Limited	307.80000
538576	Bhanderi Infracon Limited	20.29600
538579	Trivikrama Industries Ltd.	71.14500
538595	Gloster Ltd.	104.66880
538596	Quantum Build-Tech Limited	126.15630
538597	TTI Enterprise Limited	254.04422
538598	Vishal Fabrics Limited	219.56667
538607	Toyam Industries Limited	2124.90000
538608	Dwitiya Trading Limited	250.50000
538609	Gajanan Securities Services Lt	31.02000
538610	Unison Metals Ltd	32.04200
538611	Real Touch Finance Limited	126.92690
538634	Vasundhara Rasayans Ltd.	31.78200
538635	SNOWMAN LOGISTICS LIMITED	1670.87995
538646	Parnami Credits Limited	33.52800
538647	Purshottam Investofin Limited	62.83575
538652	HIND COMMERCE LIMITED	30.00000
538653	Appu Marketing & Manufacturing	145.76500
538666	Sharda Cropchem Limited	902.20495
538667	Sirohia & Sons Limited	102.55092
538668	Naysaa Securities Limited	34.76750
538674	City Online Services Limited	51.64700
538684	Encash Entertainment Limited	38.96496
538685	SHEMAROO ENTERTAINMENT LIMITED	271.82239
538686	Partani Appliances Limited	123.10200
538706	Ultracab (India) Limited	127.23000
538707	Rajasthan Cylinders & Containe	33.61595
538708	Econo Trade (India) Limited	186.69575
538713	Atishay Limited	109.81333
538714	Suchitra Finance & Trading Com	93.22550
538715	Dhabriya Polywood Limited	108.24245
538716	Aryaman Capital Markets Limite	119.77126
538730	PDS MULTINATIONAL FASHIONS LIM	260.46724
538731	Powerhouse Gym & Wellness Limi	69.00000
538732	Vibrant Global Capital Limited	229.07380
538733	Starlit Power Systems Limited	100.64866
538734	ADCC Infocad Limited	91.38220
538742	Panache Innovations Limited	43.90000
538743	Mudunuru Limited	239.27500
