ScripCode,Scrip ID,Scrip Group,ScripName,Close Price,Daily Upper Value,Daily Lower Value,Weekly Upper Value,Weekly Lower Value,Monthly Upper Value,Monthly Lower Value,Quarterly Upper Value,Quarterly Lower Value,Yearly Upper Value,Yearly Lower Value,Final Upper Value,Final Lower Value,Filler1,Filler2,Filler3,Filler4,Filler5
506919,MAKERSL,XD,MAKERS LABORATORIES LTD.,9710,11650,7770,0,0,0,0,33515,5,38295,5,11650,7770,,,,,
506935,CONTCHM,P,CONTINENTAL CHEMICALS LTD.,439,460,418,0,0,0,0,812,168,1076,1,460,418,,,,,
506947,ADVPETR-B,P,ADVANCE PETROCHEMICALS LTD.,2350,2465,2235,0,0,0,0,4380,905,6405,5,2465,2235,,,,,
506971,BBREALTY,XD,B&B REALTY LIMITED,354,371,337,0,0,0,0,669,138,1415,1,371,337,,,,,
506981,BLUECHIPT,XD,BLUE CHIP TEX INDUSTRIES LTD.,9295,11150,7440,0,0,0,0,30090,5,57120,5,11150,7440,,,,,
506991,NOBLEXP,XT,NOBLE EXPLOCHEM LTD.,740,777,703,0,0,0,0,1561,322,4471,1,777,703,,,,,
507155,JAGAJITIND,XT,JAGATJIT INDUSTRIES LTD.,5115,5370,4860,0,0,0,0,12315,2540,17140,5,5370,4860,,,,,
507265,APTEAML,XT,APTE AMALGAMATIONS LTD.,8950,9395,8505,0,0,0,0,16490,3400,19530,5,9395,8505,,,,,
507300,RAVALSUGAR,XT,RAVALGAON SUGAR FARM LTD.,450000,472500,427500,0,0,0,0,892400,184000,1237565,5,472500,427500,,,,,
507435,KHODAY,XT,KHODAY INDIA LTD.,6580,6905,6255,0,0,0,0,11160,2305,15320,5,6905,6255,,,,,
507474,KFBL,XD,KOTHARI FERMENTATION & BIOCHEM,5355,5620,5090,0,0,0,0,12655,5,18085,5,5620,5090,,,,,
507486,CAPRO,XT,CAPROLACTAM CHEMICALS LTD.,1800,1890,1710,0,0,0,0,2591,535,2684,1,1890,1710,,,,,
507498,PICCASUG,XD,PICCADILY SUGAR & ALLIED INDUS,719,862,576,0,0,0,0,2695,1,4352,1,862,576,,,,,
507508,RIGASUG,XD,RIGA SUGAR COMPANY LTD.,2825,3105,2545,0,0,0,0,7545,5,13870,5,3105,2545,,,,,
507515,CJGEL,XT,C.J.GELATINE PRODUCTS LTD.,909,954,864,0,0,0,0,1918,396,2369,1,954,864,,,,,
507522,MOUNTSHIQ,XT,MOUNT SHIVALIK INDUSTRIES LTD.,1520,1595,1445,0,0,0,0,3295,680,4695,5,1595,1445,,,,,
507525,AMRITCORP,XC,AMRIT CORP.LTD.,64645,67875,61415,0,0,0,0,157210,5,272000,5,67875,61415,,,,,
507526,ASALCBR,XT,ASSOCIATED ALCOHOLS & BREWERIE,11830,12420,11240,0,0,0,0,32165,6635,63045,5,12420,11240,,,,,
507543,CORAGRO,P,COROMANDEL AGRO PRODUCTS & OIL,258,270,246,0,0,0,0,500,104,600,1,270,246,,,,,
507552,FOODSIN,XC,FOODS & INNS LTD.,102540,123045,82035,0,0,0,0,380760,5,433700,5,123045,82035,,,,,
507598,KLRF,XD,KLRF LTD.,7850,9420,6280,0,0,0,0,29855,5,33455,5,9420,6280,,,,,
507609,OLYOI,XT,OLYMPIC OIL INDUSTRIES LTD.,7490,7860,7120,0,0,0,0,14530,3000,7490,5,7490,7120,,,,,
507621,MLKFOOD,XD,MILKFOOD LTD.,21100,25320,16880,0,0,0,0,79990,5,91500,5,25320,16880,,,,,
507645,POLSON,XT,POLSON LTD.,1425000,1453500,1396500,0,0,0,0,2147285,442740,1774365,5,1453500,1396500,,,,,
507649,RASOI,XT,RASOI LTD.,2682100,2816205,2547995,0,0,0,0,5820000,1200000,11489280,5,2816205,2547995,,,,,
507652,RATNAMAGRO,XD,RATNAMANI AGRO INDUSTRIES LTD,173,181,165,0,0,0,0,300,62,480,1,181,165,,,,,
507663,SAGRSOY-B,P,SAGAR SOYA PRODUCTS LTD.,126,132,120,0,0,0,0,256,53,339,1,132,120,,,,,
507690,ORIBEVER,XD,ORIENT BEVERAGES LTD.,14940,17925,11955,0,0,0,0,55055,5,65035,5,17925,11955,,,,,
507753,SREERAYA,XC,SREE RAYALASEEMA ALKALIES & AL,2320,2780,1860,0,0,0,0,7445,5,11450,5,2780,1860,,,,,
507759,LIMECHM,Z,LIME CHEMICALS LTD.,2415,2535,2295,0,0,0,0,4685,970,2415,5,2415,2295,,,,,
507779,KANPRPLA,XC,KANPUR PLASTIPACK LTD.,14245,15665,12825,0,0,0,0,39920,5,65305,5,15665,12825,,,,,
507794,KHAICHEM,XT,KHAITAN CHEMICALS & FERTILIZER,1525,1600,1450,0,0,0,0,5325,5,7740,5,1600,1450,,,,,
507808,UNTTEMI,P,UNITED LEASING & INDUSTRIES LT,1073,1126,1020,0,0,0,0,2081,430,2618,1,1126,1020,,,,,
507813,NOL,XD,NATIONAL OXYGEN LTD.,3725,4470,2980,0,0,0,0,13290,5,19445,5,4470,2980,,,,,
507817,WIREFABR,XD,WIRES & FABRIKS (SA) LTD.,13355,14690,12020,0,0,0,0,26170,5,48715,5,14690,12020,,,,,
507833,COMPUPN,XD,COMPUTER POINT LTD.,125,131,119,0,0,0,0,300,62,268,1,131,119,,,,,
507836,MCCHRLS-B,XC,MAC CHARLES (INDIA) LTD.,50500,60600,40400,0,0,0,0,172025,5,217380,5,60600,40400,,,,,
507852,ADDIND,XD,ADDI INDUSTRIES LTD.,761,799,723,0,0,0,0,1358,280,1708,1,799,723,,,,,
